순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"50,700","1,200","2.4","63,491,109","3,160,206,301,240","50,400","50,800","49,850","325,459,762,290,000","17.02","6,419,324,700",,,2311
2,000660,SK하이닉스,"93,400","-1,600","-1.7","5,996,671","560,830,087,348","94,500","94,700","92,800","67,995,420,891,000","3.56","728,002,365",,,
3,005935,삼성전자우,"40,500","1,500","3.8","4,822,847","194,811,410,100","39,750","40,500","39,600","36,596,974,500,000","1.91","903,629,000",,,
4,068270,셀트리온,"265,500","-4,000","-1.5","763,025","204,530,816,000","274,500","274,500","265,500","33,292,612,246,500","1.74","125,395,903",,,
5,005380,현대차,"139,000","1,500","1.1","835,047","115,864,035,500","139,000","140,000","137,500","30,618,430,581,000","1.60","220,276,479",,,
6,005490,POSCO,"339,500","-2,500","-0.7","447,359","152,097,531,000","342,500","345,500","337,000","29,599,930,482,500","1.55","87,186,835",,,
7,207940,삼성바이오로직스,"435,000","9,500","2.2","339,622","147,909,215,500","426,000","444,000","425,500","28,781,775,000,000","1.50","66,165,000",,,
8,051910,LG화학,"338,500","8,000","2.4","318,155","107,412,013,000","332,500","341,000","332,500","23,895,508,105,500","1.25","70,592,343",,,
9,028260,삼성물산,"125,500","500","0.4","491,113","61,696,065,500","126,500","127,000","125,000","23,806,100,396,500","1.24","189,690,043",,,
10,035420,NAVER,"669,000","17,000","2.6","210,193","140,350,807,000","660,000","671,000","654,000","22,052,032,251,000","1.15","32,962,679",,,
11,105560,KB금융,"51,800","-600","-1.2","2,297,882","119,836,477,700","53,100","53,100","51,800","21,658,177,616,600","1.13","418,111,537",,,
12,015760,한국전력,"33,150","-600","-1.8","2,212,841","73,709,538,010","33,950","34,000","33,150","21,281,109,152,550","1.11","641,964,077",,,
13,012330,현대모비스,"218,000","-2,500","-1.1","496,730","108,596,740,600","221,000","221,500","217,000","21,220,962,134,000","1.11","97,343,863",,,
14,051900,LG생활건강,"1,343,000","5,000","0.4","50,719","67,950,777,000","1,333,000","1,349,000","1,323,000","20,975,238,571,000","1.10","15,618,197",,,
15,055550,신한지주,"43,750","-1,000","-2.2","2,649,024","116,435,276,775","44,600","45,000","43,750","20,746,231,931,250","1.08","474,199,587",,,
16,032830,삼성생명,"103,000","-4,500","-4.2","793,402","82,095,648,500","106,500","106,500","102,500","20,600,000,000,000","1.08","200,000,000",,,
17,034730,SK,"277,000","-2,000","-0.7","245,029","67,867,951,000","281,500","282,500","273,500","19,489,802,269,000","1.02","70,360,297",,,
18,090430,아모레퍼시픽,"332,500","2,500","0.8","239,358","79,720,629,000","333,000","337,500","330,500","19,437,447,925,000","1.02","58,458,490",,,
19,096770,SK이노베이션,"206,000","7,000","3.5","495,605","102,042,704,000","202,000","207,500","202,000","19,047,906,184,000","1.00","92,465,564",,,
20,017670,SK텔레콤,"222,000","-1,000","-0.4","206,527","45,922,852,500","222,500","224,000","221,000","17,925,547,842,000","0.94","80,745,711",,,
21,018260,삼성에스디에스,"211,000","-3,000","-1.4","166,820","35,290,063,500","214,000","217,000","211,000","16,326,715,800,000","0.85","77,377,800",,,
